year,day,hour,xco2
2018,159,19.35,406.83
2018,159,19.697,406.83
2018,159,19.706,406.83
2018,159,19.717,406.83
2018,159,19.944,406.83
2018,159,20.203,406.83
2018,159,20.324,406.83
2018,159,20.568,406.83
2018,159,20.612,406.83
2018,159,20.813,406.83
2018,159,20.92,406.83
2018,159,21.023,406.83
2018,159,16.449,406.84
2018,159,16.708,406.84
2018,159,16.749,406.84
2018,159,16.833,406.84
2018,159,17.06,406.84
2018,159,17.331,406.84
2018,159,17.443,406.84
2018,159,17.612,406.84
2018,159,17.661,406.84
2018,159,17.726,406.84
2018,159,17.925,406.84
2018,159,17.944,406.84
2018,159,18.174,406.84
2018,159,18.206,406.84
2018,159,18.295,406.84
2018,159,18.32,406.84
2018,159,18.578,406.84
2018,159,18.964,406.84
2018,159,19.128,406.84
2018,159,19.568,406.84
2018,159,19.878,406.84
2018,159,20.257,406.84
2018,159,20.262,406.84
2018,159,21.193,406.84
2018,159,21.265,406.84
2018,159,16.774,406.85
2018,159,16.808,406.85
2018,159,16.85,406.85
2018,159,16.956,406.85
2018,159,17.029,406.85
2018,159,17.266,406.85
2018,159,17.514,406.85
2018,159,17.928,406.85
2018,159,17.984,406.85
2018,159,18.094,406.85
2018,159,18.15,406.85
2018,159,18.952,406.85
2018,159,18.957,406.85
2018,159,19.042,406.85
2018,159,19.218,406.85
2018,159,19.4,406.85
2018,159,19.839,406.85
2018,159,20.013,406.85
2018,159,20.166,406.85
2018,159,20.343,406.85
2018,159,20.421,406.85
2018,159,20.496,406.85
2018,159,16.464,406.86
2018,159,16.676,406.86
2018,159,16.702,406.86
2018,159,16.718,406.86
2018,159,17.496,406.86
2018,159,17.698,406.86
2018,159,17.903,406.86
2018,159,18.089,406.86
2018,159,18.418,406.86
2018,159,18.469,406.86
2018,159,18.614,406.86
2018,159,18.888,406.86
2018,159,19.027,406.86
2018,159,19.426,406.86
2018,159,19.644,406.86
2018,159,19.707,406.86
2018,159,19.853,406.86
2018,159,20.363,406.86
2018,159,20.39,406.86
2018,159,20.405,406.86
2018,159,20.634,406.86
2018,159,20.704,406.86
2018,159,20.741,406.86
2018,159,20.811,406.86
2018,159,20.821,406.86
2018,159,21.063,406.86
2018,159,16.387,406.87
2018,159,16.494,406.87
2018,159,16.496,406.87
2018,159,16.703,406.87
2018,159,17.111,406.87
2018,159,17.326,406.87
2018,159,17.338,406.87
2018,159,17.718,406.87
2018,159,17.802,406.87
2018,159,17.969,406.87
2018,159,17.981,406.87
2018,159,18.074,406.87
2018,159,18.356,406.87
2018,159,18.64,406.87
2018,159,18.679,406.87
2018,159,19.235,406.87
2018,159,19.405,406.87
2018,159,19.486,406.87
2018,159,19.527,406.87
2018,159,19.746,406.87
2018,159,20.002,406.87
2018,159,20.66,406.87
2018,159,20.694,406.87
2018,159,20.837,406.87
2018,159,20.884,406.87
2018,159,20.889,406.87
2018,159,20.938,406.87
2018,159,16.59,406.88
2018,159,16.643,406.88
2018,159,16.661,406.88
2018,159,17.05,406.88
2018,159,17.197,406.88
2018,159,17.215,406.88
2018,159,17.262,406.88
2018,159,17.501,406.88
2018,159,17.534,406.88
2018,159,17.716,406.88
2018,159,17.994,406.88
2018,159,18.034,406.88
2018,159,18.31,406.88
2018,159,18.325,406.88
2018,159,18.684,406.88
2018,159,19.112,406.88
2018,159,19.139,406.88
2018,159,19.651,406.88
